강좌명\학교명,SNU,KAIST,Korea,udacity,Udemy,CMU,Berkeley,MIT,GeorgiaTech
Discrete Mathematics and Probability Theory,"(0.8, '이산수학')","(0.8, '이산구조')","(0.8, '확률과 통계 (Probability and Statistics)')",,"(0.7, 'Become a Probability & Statistics Master')","(0.8, 'Probability Theory for Computer Scientists')","(1, 'Discrete Mathematics and Probability Theory')","(0.5, 'Introduction to Probability')","(0.5, 'Introduction to Discrete Mathematics for Computer Science')"
,,,,,,,,"(0.5, 'Mathematics for Computer Science')",
Probability and Computing,,"(1, '확률적 프로그래밍')",,,,"(1, 'Probability and Computing')","(1, 'Probability and Random Processes')",,
Advanced Methods for Data Analysis,,,,,,"(1, 'Advanced Methods for Data Analysis')",,,"(0.5, 'Big Data Systems and Analytics')"
Introduction to Statistics,,,"(0.8, '확률과 통계 (Probability and Statistics)')","(1, 'Intro to Inferential Statistics')","(0.7, 'Become a Probability & Statistics Master')","(1, 'Probability and Mathematical Statistics')","(1, 'Introduction to Statistics')",,
,,,,"(1, 'Intro to Descriptive Statistics')",,,,,
Intermediate Statistics,,,,,,"(1, 'Intermediate Statistics')",,,"(0.5, ' Computational Statistics')"
Modern Regression,,,,,,"(1, 'Modern Regression')",,,
Regression Analysis,,,,,,"(1, 'Regression Analysis')",,,
Advanced Statistical Theory I,,,,,,"(1, 'Advanced Statistical Theory I')",,,"(0.5, ' Bayesian Methods')"
Advanced Statistical Theory:,,,,,,"(1, 'Advanced Statistical Theory:')",,,
Inference and Information,,,,,,,,"(1, 'Inference and Information')","(1, 'Introduction to Information Theory')"
Topics in Machine Learning,,,"(1, '기계학습 특론 (Advanced Machine Learning)')",,,,,,
Introduction to Machine Learning,"(1, '기계학습 개론')","(1, '기계학습')","(1, '기계학습 (Machine Learning)')","(1, 'Intro to Machine Learning')","(1, 'The Ultimate Data Science & Machine Learning Python in 2019')","(1, 'Introduction to Machine Learning')","(1, 'Introduction to Machine Learning')","(1, 'Introduction to Machine Learning')","(1, 'Machine Learning')"
,,,,,"(0.5, 'Machine Learning Data Science Deep Learning Neural Networks')",,,"(0.7, 'Statistical Learning Theory and Applications')",
Advanced Introduction to Machine Learning,,,,,,"(1, 'Advanced Introduction to Machine Learning')","(0.5, 'Statistical machine learning')",,"(1, 'Machine Learning(graduate)')"
Advanced Machine Learning: Theory and Methods,"(1, '기계학습')","(1, '고급 기계학습')",,"(1, 'Machine Learning Engineer')",,"(1, 'Advanced Machine Learning: Theory and Methods')","(0.5, 'Statistical Learning Theory')",,"(1, 'Theoretical Foundations of Machine Learning')"
,,,,,,,"(0.5, 'Advances Topics in Learning and Decision Making ')",,
Machine Learning for Structured Data,,,,,,"(1, 'Machine Learning for Structured Data')",,,
Machine Learning with Large Datasets,,,,,,"(1, 'Machine Learning with Large Datasets')",,,"(0.5, 'Big Data Systems and Analytics')"
Probabilistic Graphical Models,,,,,,"(1, 'Probabilistic Graphical Models')",,,
Foundation of Data Science,,,,"(1, 'Intro to Data Science')","(0.5, 'Python for Data Science and Machine Learning Bootcamp')",,"(1, 'Computational Structures in Data Science')",,
,,,,,,,"(0.5, 'Foundation of Data Sciecne')",,
Data Analysis,,,,"(1, 'Data Analysis')",,"(1, 'Data Analysis')",,,"(1, ' Computational Data Analysis: Learning, Mining, and Computation')"
빅데이터,,"(1, 'R을 활용한 빅데이터 분석 기초')","(1, '빅데이터 분석 (Big Data Analysis)')",,,,,,
빅데이터 분석 응용,,,"(1, '빅데이터 분석 응용 및 실습 (Big Data Analysis Application and Pr..')",,,,,,"(1, ' Big Data for Health')"
,,,"(1, '빅데이터 특론 (Advanced Big Data)')",,,,,,"(0.5, 'Information to Health Informatics')"
Datamining,"(1, '데이터마이닝 개론')","(0.7, '텍스트마이닝')",,,,"(0.5, 'Multimedia Databases and Datamining')",,,"(0.7, ' Web Search and Text Mining')"
,,,,,,,,,"(0.5, ' Data and Visual Analytics')"
분산시스템,,"(1, '분산시스템')",,,,,,,
,,"(1, '분산 알고리즘 및 시스템')",,,,,,,
Optimization,,,"(1, '최적화 이론 (Optimization Theory)')",,"(0.7, 'Learn Bio Inspired Optimization Methods A-Z')",,"(1, 'Optimization Models in Engineering')",,"(0.7, ' Stochastic Optimization')"
Convex Optimization,,,,,,"(1, 'Convex Optimization')","(0.5, 'Introduction to Convex Optimization')",,
,,,,,,,"(0.5, 'Convex Optimization and Approximation')",,
