강좌명\학교명,CMU,Berkely,SNU,MIT,GeorgiaTech
Integration and Approximation,"(1, 'Integration and Approximation')","(0.3, 'Convex Optimization and Approximation')",,,"(0.7, 'Approximation Algorithms')"
Scalability in Machine Learning,"(1, 'Scalability in Machine Learning')",,,,
Machine Learning for Text Mining,"(1, 'Machine Learning for Text Mining')",,,,"(0.5, ' Web Search and Text Mining')"
Search Engines,"(1, 'Search Engines')",,,,
Speech Processing,"(1, 'Speech Processing')",,,"(1, 'Automatic Speech Recognition')",
Principles of Functional Programming,"(1, 'Principles of Functional Programming')","(0.3, 'The Structure and Interpretation of Computer Programs')",,,
Mathematical Foundations for Computer Science,"(1, 'Mathematical Foundations for Computer Science')",,,,
인공지능 이해,"(1, 'Freshman Seminar: Artificial Intelligence and Humanity')",,"(1, '인공지능 입문')",,
Concepts in Artificial Intelligence,"(1, 'AI, Society, and Humanity')",,,,"(1, 'AI Storytelling in Virtual Worlds')"
,"(1, 'Concepts in Artificial Intelligence')",,,,
Topics in Deep Learning,"(1, 'Topics in Deep Learning')","(1, 'Special Topics in Deep Learning')","(1, '인공지능 특강')",,
Intoduction to Artificial Intelligence,"(1, 'Artificial Intelligence: Representation and Problem Solving')","(1, 'Intoduction to Artificial Intelligence')","(1, '인공지능')","(1, 'Artificial Intelligence')","(1, 'Introduction to Artificial Intelligence')"
Graduate Artificial Intelligence,"(1, 'Graduate Artificial Intelligence')",,"(1, '고급 인공지능')",,"(1, 'Artificial Intelligence')"
Artificial Intelligence for Robotics,,,,,"(1, 'Artificial Intelligence for Robotics')"
Case-Based Reasoning,,,,,"(1, 'Case-Based Reasoning')"
Knowledge-Based Modeling and Design,,,,,"(1, 'Knowledge-Based Modeling and Design')"
,,,,,"(1, 'Knowledge-Based Artificial Intelligence')"
,,,,,"(1, 'Knowledge-Based AI(graduate)')"
Human Information Processing and Artificial Intelligence,"(1, 'Human Information Processing and Artificial Intelligence')",,,"(1, 'The Human Intelligence Enterprise')","(1, 'Introduction to Behavioral Imaging')"
Game Artificial Intelligence,,,,,"(1, 'Game AI')"
,,,,,"(1, 'Game Artificial Intelligence(graduate)')"
Design of Artificial Intelligence Products,"(1, 'Design of Artificial Intelligence Products')",,,,"(0.6, 'Modeling and Design')"
Introduction to Deep Learning,"(1, 'Introduction to Deep Learning')",,,,"(1, 'Deep Learning')"
Intermediate Deep Learning,"(1, 'Intermediate Deep Learning')",,"(0.7, '인공신경망')",,"(1, 'Deep Learning')"
Computational Systems Biology: Deep Learning in the Life Sciences,,,,"(1, 'Computational Systems Biology: Deep Learning in the Life Sciences')",
Deep Reinforcement Learning,"(1, 'Deep Reinforcement Learning')",,,,"(1, 'Reinforcement Learning and Decision Making')"
,"(1, 'Deep Reinforcement Learning & Control')",,,,
Pattern Recognition,,,,,"(1, 'Pattern Recognition')"
,,,,,"(1, 'Pattern Recognition(graduate)')"
Computer Vision,"(1, 'Computer Vision:')","(1, 'Computer Vision')","(1, '컴퓨터 비전')","(0.8, 'Advances in Computer Vision')","(1, 'Introduction to Computer Vision')"
,,,,,"(1, 'Introduction to Computer Vision GR')"
,,,,,"(1, '3D Reconstruction and Mapping in Computer Vision, Robotics, and Augmented Reality')"
Computational Photography,"(1, 'Computational Photography')","(0.5, 'Computational Imaging')","(0.8, '컴퓨터 그래픽스')","(1, 'Machine Vision')","(1, 'Computational Photography')"
,,"(0.5, 'Image Manipulation and Computational Photography')",,,
Natural Language Processing:,"(1, 'Natural Language Processing:')","(1, 'Natural Language Processing')","(0.7, '인공신경망')","(1, 'Natural Language and the Computer Representation of Knowledge')","(1, 'Natural Language Understanding')"
,,,"(1, '자연언어처리')","(1, 'Advanced Natural Language Processing')","(1, 'Natural Language')"
,,,,"(1, 'Computational Psycholinguistics')",
Autonomous Agents,"(1, 'Autonomous Agents')",,,,"(0.7, 'Autonomous Robotics')"
,,,,,"(0.7, 'Autonomous Multi-Robot Systems')"
Datamining,"(0.5, 'Multimedia Databases and Datamining')",,"(1, '데이터마이닝 개론')",,"(0.7, ' Web Search and Text Mining')"
,,,,,"(0.5, ' Data and Visual Analytics')"
Introduction to Robotics,"(0.7, 'Cognitive Robotics: The Future of Robot Toys')","(1, 'Introduction to Robotics')",,,"(0.5, 'Introduction to Perception and Robotics')"
Planning Techniques for Robotics,"(1, 'Planning Techniques for Robotics')","(1, 'Advanced Robotics')",,"(0.5, 'Cognitive Robotics')","(1, 'Robot Intelli Planning')"
,,,,,"(1, 'Robot Intelligence: Planning')"
Mobile Robot Algorithms Laboratory,"(1, 'Mobile Robot Algorithms Laboratory')",,,,
Robot Kinematics and Dynamics,"(1, 'Robot Kinematics and Dynamics')","(1, 'Robotic Manipulation and Interaction')",,,
Human Robot Interaction,"(1, 'Human Robot Interaction')","(0.9, 'Algorithmic Human-Robot Interaction')",,"(0.5, 'Cognitive Robotics')","(1, 'Human-Robot Interaction')"
Ethics and Policy Issues in Computing,"(1, 'Ethics and Policy Issues in Computing')",,,,
Interpretation and Argument,"(1, 'Interpretation and Argument')",,,,
네트워크,,,"(1, '컴퓨터 네트워크')","(0.7, 'Networks')",
Signal and Systems,,"(1, 'Signal and Systems ')","(0.5, '데이터 통신')","(1, 'Signals and Systems')",
,,,"(0.5, '디지털 신호처리')",,
Cognitive Psychology,"(1, 'Cognitive Psychology')","(1, 'Introduction to Cognitive Science')",,"(0.7, 'Introduction to Neuroscience')","(1, 'Introduction to Cognitive Science')"
,,,,,"(1, 'Introduction to Cognitive Science(graduate)')"
,,,,,"(1, 'Introduction to Psychology')"
Computational Models of Cognition,"(1, 'Cognitive Modeling:')","(1, 'Computational Models of Cognition')",,"(1, 'Computational Cognitive Science')",
,,,,"(0.5, 'Neural Circuits for Cognition (New)')",
Neural Computation,"(1, 'Neural Computation')","(1, 'Neural Computation')",,"(1, 'Introduction to Neural Computation')",
,,,,"(0.5, 'Neural Circuits for Cognition (New)')",
Biomedical Computing,,,,"(1, 'Biomedical Computing')","(0.5, 'Information to Health Informatics')"
Cellular Neurophysiology and Computing,,,,"(1, 'Cellular Neurophysiology and Computing')",
Computational Perception,"(1, 'Computational Perception')",,,,"(0.5, 'Introduction to Perception and Robotics')"
,,,,,"(1, 'Computational Perception')"
Perception,"(1, 'Perception')",,,"(1, 'Perception')","(1, 'Sensation and Perception')"
Human Memory,"(1, 'Human Memory')",,,,
Visual Cognition,"(1, 'Visual Cognition')",,,,
Language and Thought,"(1, 'Language and Thought')",,,,
Principles of Microeconomics,,,,"(1, 'Principles of Microeconomics')",
Intermediate Macroeconomics,,,,"(1, 'Intermediate Macroeconomics')",
Economic Applications of Game Theory,,,,"(1, 'Economic Applications of Game Theory')",
Psychology and Economics,,,,"(1, 'Psychology and Economics')",
Econometric Data Science,,,,"(1, 'Econometric Data Science')",
Stochastic Models in Business Analytics,,,,"(1, 'Stochastic Models in Business Analytics')",
Computational Social Science,,,,,"(1, 'Computational Journalism')"
,,,,,"(1, 'Computational Journalism(graduate)')"
,,,,,"(1, 'Computational Social Science')"
